"Type","TG3ID","TherapeuticGrp3","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Dispensings","131901","5-Alpha Reductase Inhibitors","Canterbury",2022,"24490","3483",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","South Canterbury",2022,"3377","485",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Lakes",2022,"1643","284",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Auckland",2022,"11059","1854",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Whanganui",2022,"1583","286",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Wairarapa",2022,"2775","349",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Northland",2022,"5834","1147",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Counties Manukau",2022,"11510","1788",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","West Coast",2022,"1662","287",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Hawke's Bay",2022,"2794","291",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Tairawhiti",2022,"1102","169",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Taranaki",2022,"3697","595",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","New Zealand",2022,"137741","21659",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Hutt Valley",2023,"4210","609",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Canterbury",2023,"27395","3952",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Southern",2023,"11615","1738",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Counties Manukau",2023,"12235","1927",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","South Canterbury",2023,"3698","527",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Waitemata",2023,"17462","3023",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Wairarapa",2023,"3313","414",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Auckland",2023,"11664","1963",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","MidCentral",2023,"4417","610",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Northland",2023,"6636","1279",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Nelson Marlborough",2023,"6656","1065",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Waikato",2023,"11905","1907",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Lakes",2023,"1800","306",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Bay of Plenty",2023,"7876","1257",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Whanganui",2023,"1766","325",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Capital & Coast",2023,"7186","1249",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","West Coast",2023,"1779","302",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Hawke's Bay",2023,"3526","388",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Taranaki",2023,"3882","585",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Tairawhiti",2023,"1390","188",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","New Zealand",2023,"150411","23614",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Canterbury",2024,"31558","4321",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Southern",2024,"12451","1897",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Auckland",2024,"12829","2140",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Waitemata",2024,"19526","3241",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Hutt Valley",2024,"4628","639",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Northland",2024,"7509","1346",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Waikato",2024,"13317","2020",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Counties Manukau",2024,"13553","2094",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","MidCentral",2024,"4642","621",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","South Canterbury",2024,"4056","561",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Bay of Plenty",2024,"8862","1437",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Taranaki",2024,"4238","593",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Capital & Coast",2024,"7814","1288",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Wairarapa",2024,"3731","444",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Nelson Marlborough",2024,"7306","1105",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Whanganui",2024,"1928","323",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Hawke's Bay",2024,"4678","524",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","West Coast",2024,"1921","317",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Tairawhiti",2024,"1569","200",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","Lakes",2024,"2081","330",100
"Dispensings","131901","5-Alpha Reductase Inhibitors","New Zealand",2024,"168197","25441",100
"Initial dispensings","70701","ACE Inhibitors","Wairarapa",2020,"17967","5015",100
"Initial dispensings","70701","ACE Inhibitors","Hutt Valley",2020,"45102","12610",100
"Initial dispensings","70701","ACE Inhibitors","Northland",2020,"67535","18831",100
"Initial dispensings","70701","ACE Inhibitors","Hawke's Bay",2020,"49457","14013",100
"Initial dispensings","70701","ACE Inhibitors","Auckland",2020,"104124","30170",100
"Initial dispensings","70701","ACE Inhibitors","Capital & Coast",2020,"74160","20945",100
"Initial dispensings","70701","ACE Inhibitors","Canterbury",2020,"157507","43361",100
"Initial dispensings","70701","ACE Inhibitors","Southern",2020,"105872","29312",100
"Initial dispensings","70701","ACE Inhibitors","Waikato",2020,"127857","35096",100
"Initial dispensings","70701","ACE Inhibitors","MidCentral",2020,"63268","17236",100
"Initial dispensings","70701","ACE Inhibitors","Counties Manukau",2020,"153876","44905",100
"Initial dispensings","70701","ACE Inhibitors","Bay of Plenty",2020,"73731","20771",100
"Initial dispensings","70701","ACE Inhibitors","Waitemata",2020,"149770","42602",100
"Initial dispensings","70701","ACE Inhibitors","Nelson Marlborough",2020,"48944","13665",100
"Initial dispensings","70701","ACE Inhibitors","Tairawhiti",2020,"13722","3973",100
"Initial dispensings","70701","ACE Inhibitors","Whanganui",2020,"23733","6548",100
"Initial dispensings","70701","ACE Inhibitors","Taranaki",2020,"40886","11161",100
"Initial dispensings","70701","ACE Inhibitors","South Canterbury",2020,"23849","6520",100
"Initial dispensings","70701","ACE Inhibitors","Lakes",2020,"32132","9210",100
"Initial dispensings","70701","ACE Inhibitors","West Coast",2020,"13134","3591",100
"Initial dispensings","70701","ACE Inhibitors","New Zealand",2020,"1386626","389535",100
"Initial dispensings","70701","ACE Inhibitors","Waikato",2021,"128572","35178",100
"Initial dispensings","70701","ACE Inhibitors","Canterbury",2021,"162806","44883",100
"Initial dispensings","70701","ACE Inhibitors","Lakes",2021,"32885","9335",100
"Initial dispensings","70701","ACE Inhibitors","Southern",2021,"103494","28615",100
"Initial dispensings","70701","ACE Inhibitors","Waitemata",2021,"150552","42105",100
"Initial dispensings","70701","ACE Inhibitors","Bay of Plenty",2021,"75546","20988",100
"Initial dispensings","70701","ACE Inhibitors","Whanganui",2021,"23736","6505",100
"Initial dispensings","70701","ACE Inhibitors","Taranaki",2021,"41347","11130",100
"Initial dispensings","70701","ACE Inhibitors","South Canterbury",2021,"23796","6557",100
"Initial dispensings","70701","ACE Inhibitors","Northland",2021,"66816","18690",100
"Initial dispensings","70701","ACE Inhibitors","Capital & Coast",2021,"74376","20585",100
"Initial dispensings","70701","ACE Inhibitors","Hutt Valley",2021,"44969","12447",100
"Initial dispensings","70701","ACE Inhibitors","Auckland",2021,"101201","29336",100
"Initial dispensings","70701","ACE Inhibitors","Nelson Marlborough",2021,"50577","13865",100
"Initial dispensings","70701","ACE Inhibitors","MidCentral",2021,"64120","17381",100
"Initial dispensings","70701","ACE Inhibitors","Counties Manukau",2021,"150796","43452",100
"Initial dispensings","70701","ACE Inhibitors","Hawke's Bay",2021,"49932","14022",100
"Initial dispensings","70701","ACE Inhibitors","West Coast",2021,"13639","3707",100
"Initial dispensings","70701","ACE Inhibitors","Tairawhiti",2021,"13569","3856",100
"Initial dispensings","70701","ACE Inhibitors","Wairarapa",2021,"18772","5114",100
"Initial dispensings","70701","ACE Inhibitors","New Zealand",2021,"1391501","387751",100
"Initial dispensings","70701","ACE Inhibitors","Nelson Marlborough",2022,"50833","13816",100
"Initial dispensings","70701","ACE Inhibitors","Hutt Valley",2022,"43190","11712",100
"Initial dispensings","70701","ACE Inhibitors","Auckland",2022,"94084","26655",100
"Initial dispensings","70701","ACE Inhibitors","Capital & Coast",2022,"71398","19544",100
"Initial dispensings","70701","ACE Inhibitors","Counties Manukau",2022,"141810","40590",100
"Initial dispensings","70701","ACE Inhibitors","Canterbury",2022,"161596","43945",100
"Initial dispensings","70701","ACE Inhibitors","MidCentral",2022,"63681","17162",100
"Initial dispensings","70701","ACE Inhibitors","Southern",2022,"92537","25399",100
"Initial dispensings","70701","ACE Inhibitors","Taranaki",2022,"39439","10693",100
"Initial dispensings","70701","ACE Inhibitors","Waikato",2022,"128336","35368",100
"Initial dispensings","70701","ACE Inhibitors","Lakes",2022,"30862","8779",100
"Initial dispensings","70701","ACE Inhibitors","Hawke's Bay",2022,"47156","13243",100
"Initial dispensings","70701","ACE Inhibitors","Northland",2022,"61386","17155",100
"Initial dispensings","70701","ACE Inhibitors","Whanganui",2022,"22883","6248",100
"Initial dispensings","70701","ACE Inhibitors","Tairawhiti",2022,"13331","3758",100
"Initial dispensings","70701","ACE Inhibitors","Waitemata",2022,"143621","39459",100
"Initial dispensings","70701","ACE Inhibitors","Bay of Plenty",2022,"73944","20424",100
