"Type","ChemID","Chemical","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Hawke's Bay",2020,"71","21",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Bay of Plenty",2020,"75","25",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","West Coast",2020,"14","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Northland",2020,"48","15",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Nelson Marlborough",2020,"16","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Whanganui",2020,"21","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Lakes",2020,"21","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","MidCentral",2020,"34","12",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Taranaki",2020,"17","6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","South Canterbury",2020,"<6","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","New Zealand",2020,"2015","572",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Capital & Coast",2021,"182","54",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Southern",2021,"125","35",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Northland",2021,"61","14",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Counties Manukau",2021,"142","42",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Waitemata",2021,"233","63",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Canterbury",2021,"257","72",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Auckland",2021,"414","123",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Nelson Marlborough",2021,"14","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Hutt Valley",2021,"76","26",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Bay of Plenty",2021,"62","23",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","West Coast",2021,"20","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","MidCentral",2021,"26","9",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Hawke's Bay",2021,"30","11",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Whanganui",2021,"21","6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Tairawhiti",2021,"14","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","South Canterbury",2021,"<6","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Wairarapa",2021,"10","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Waikato",2021,"75","23",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Lakes",2021,"20","6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Taranaki",2021,"15","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","New Zealand",2021,"1801","526",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Auckland",2022,"383","115",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Waikato",2022,"66","22",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Capital & Coast",2022,"110","38",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Hutt Valley",2022,"69","19",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Canterbury",2022,"279","68",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Waitemata",2022,"216","59",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Bay of Plenty",2022,"49","15",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Southern",2022,"124","36",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Northland",2022,"59","18",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Whanganui",2022,"15","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Lakes",2022,"30","8",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Hawke's Bay",2022,"37","10",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Counties Manukau",2022,"117","33",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","West Coast",2022,"17","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","MidCentral",2022,"32","9",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Nelson Marlborough",2022,"12","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","South Canterbury",2022,"<6","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Taranaki",2022,"15","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Tairawhiti",2022,"16","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Wairarapa",2022,"9","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","New Zealand",2022,"1659","475",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Auckland",2023,"358","102",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Bay of Plenty",2023,"45","12",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Waitemata",2023,"185","54",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Canterbury",2023,"239","65",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","West Coast",2023,"18","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Taranaki",2023,"17","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Southern",2023,"121","32",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Capital & Coast",2023,"86","28",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Hawke's Bay",2023,"32","9",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Counties Manukau",2023,"104","30",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Northland",2023,"56","14",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","South Canterbury",2023,"<6","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Hutt Valley",2023,"43","13",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Nelson Marlborough",2023,"19","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","MidCentral",2023,"37","10",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Whanganui",2023,"18","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Waikato",2023,"46","13",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Tairawhiti",2023,"12","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Wairarapa",2023,"<6","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Lakes",2023,"13","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","New Zealand",2023,"1458","412",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Bay of Plenty",2024,"36","11",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Auckland",2024,"271","85",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Southern",2024,"119","34",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Waitemata",2024,"138","44",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Capital & Coast",2024,"74","23",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Canterbury",2024,"190","58",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Counties Manukau",2024,"82","28",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Waikato",2024,"41","12",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Taranaki",2024,"20","<6",100
"Initial dispensings","3863","Abacavir sulphate with lamivudine","Hawke's Bay",2024,"34","7",100
