STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_008,Area,CEN23_DEP_001,New Zealand index of socioeconomic deprivation,CEN23_ETH_006,Ethnicity,CEN23_AGE_003,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,90,Area outside health region,03,3,9999,Total - ethnicity,99,Total - age,99,Total - gender,0,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,20,Te Manawa Taki,07,7,9999,Total - ethnicity,99,Total - age,99,Total - gender,108501,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,30,Central Region,01,1 - Least deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,114147,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,101,Waitematā,03,3,9999,Total - ethnicity,99,Total - age,99,Total - gender,85797,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,300,Hawke's Bay,99,Not elsewhere included,9999,Total - ethnicity,99,Total - age,99,Total - gender,0,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,303,"Capital, Coast and Hutt Valley",08,8,9999,Total - ethnicity,99,Total - age,99,Total - gender,29367,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,400,Nelson Marlborough,10,10 - Most deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,2592,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,402,Canterbury,08,8,9999,Total - ethnicity,99,Total - age,99,Total - gender,51207,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,102,Auckland,06,6,9999,Total - ethnicity,99,Total - age,99,Total - gender,50277,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,304,Wairarapa,09,9,9999,Total - ethnicity,99,Total - age,99,Total - gender,5262,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,204,Taranaki,07,7,9999,Total - ethnicity,99,Total - age,99,Total - gender,16410,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,103,Counties Manukau,03,3,9999,Total - ethnicity,99,Total - age,99,Total - gender,48453,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,403,South Canterbury,02,2,9999,Total - ethnicity,99,Total - age,99,Total - gender,5949,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,20,Te Manawa Taki,04,4,9999,Total - ethnicity,99,Total - age,99,Total - gender,84456,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,403,South Canterbury,10,10 - Most deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,1152,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,200,Waikato,01,1 - Least deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,30519,,,
